SOC_without_attack;SOC_fake;SOC_with_attack;PBESS_without_attack;PBESS_fake;PBESS_with_attack
19;20;21,03333333;23,33333333;31,89436649;10659,1793
19;19,46666667;24,93333333;21,33333333;31,92177152;12973,33577
19;19;28,9;21,33333333;31,69988219;13096,78515
19;19;32,73333333;22;31,47173645;13185,98913
19;19;36,5;22,33333333;31,23785429;13249,97717
19;19;40,26666667;23,33333333;30,99873982;13292,11842
19;19;44;21;30,75488104;13314,04157
19;19;47,6;19,66666667;30,50674975;13317,60119
19;19;51,4;22,33333333;30,25480142;13306,19112
19;19;55;20,33333333;29,99947519;13285,59048
19;19;58,73333333;20,33333333;29,74119385;13264,09917
19;19;62,5;21;29,48036389;13251,6069
19;19;66,26666667;20;29,21737558;13257,48475
18,5;19;70,03333333;20,33333333;28,95260309;13287,64712
18;19;73,9;22;28,68640464;13341,29315
18;19;77,8;19,33333333;28,41912263;13407,22707
18;19;81,7;20;28,15108395;13458,0998
18;19;85,6;20;27,88260008;13436,83086
18;19;89,5;21;27,61396747;9281,135636
18;19;87,9;19,66666667;27,34546774;-13326,62941
18;19;82,56666667;21,33333333;27,07736799;-13391,79778
18;19;77,23333333;20;26,80992113;-13443,61618
18;19;71,83333333;20;26,54336619;-13489,0654
18;19;66,46666667;20,33333333;26,27792867;-13531,80614
18;19;61,13333333;21;26,0138209;-13574,96189
18;18,13333333;55,73333333;20,33333333;25,75124238;-13620,13175
18;18;50,36666667;20,33333333;25,49038016;-13665,00563
18;18;44,96666667;20,66666667;25,23140923;-13700,09911
18;18;39,46666667;20,33333333;24,97449287;-13707,46489
18;18;33,83333333;20,66666667;24,71978306;-13664,17611
18;18;31,3;20,66666667;24,46742084;9153,694927
18;18;34,86666667;21,66666667;24,21753673;13225,42741
18;18;38,6;20,66666667;23,97025107;13276,66232
18;18;42,4;21;23,72567445;13307,0486
18;18;46,1;20;23,48390805;13318,15682
18;18;49,73333333;21,66666667;23,24504405;13312,5898
18;18;53,5;21,33333333;23,00916599;13295,0407
18;18;57,13333333;21,33333333;22,77634913;13272,77674
18;18;60,86666667;21,33333333;22,54666081;13255,20032
18;18;64,6;20;22,32016083;13252,22825
18;18;68,4;20,33333333;22,09690179;13271,64121
18;18;72,26666667;23,66666667;21,87692942;13315,91882
18;18;76,1;21,33333333;21,66028291;13378,82735
18;18;80,03333333;20,33333333;21,44699525;13440,9083
18;18;83,93333333;20;21,23709357;13460,48893
18;18;87,83333333;21,33333333;21,0305994;13347,56617
18;18;89,7;21,33333333;20,82752899;-5798,68741
18;18;84,9;20,33333333;20,62789363;-13366,09333
18;18;79,56666667;21,33333333;20,43169988;-13421,95933
18;18;74,2;22,66666667;20,23894989;-13469,72221
18;18;68,8;22,33333333;20,04964164;-13513,22217
18;18;63,46666667;21,33333333;19,8637692;-13555,87207
18;18;58,13333333;20;19,68132298;-13600,14183
18;18;52,7;20;19,50228995;-13645,81765
18;18;47,36666667;20,66666667;19,3266539;-13686,92199
18;18;41,86666667;21,33333333;19,15439561;-13709,08005
18;18;36,33333333;20,66666667;18,98549311;-13690,84142
18;18;31,26666667;19,33333333;18,81992186;-2466,299237
18;18;33,3;20;18,65765491;13196,7454
18;18;37,13333333;20;18,49866316;13257,42147
18;18;40,76666667;20;18,34291547;13296,53131
18;18;44,5;20;18,19037883;13315,64279
18;18;48,23333333;20;18,04101856;13316,76317
18;18;51,86666667;20,33333333;17,89479845;13303,59374
18;18;55,56666667;20;17,75168087;13282,29373
18;18;59,26666667;20;17,61162696;13261,48105
18;18;63;20;17,47459671;13251,12662
18;18;66,73333333;20;17,34054912;13260,29352
17,66666667;18;70,6;20;17,20944232;13294,12533
17;18;74,46666667;20;17,08123364;13350,55829
17;18;78,36666667;20;16,95587977;13416,49441
17;18;82,3;18,33333333;16,83333679;13461,43191
17;18;86,2;20;16,71356036;13421,60705
17;18;89,73333333;20;16,59650571;4845,092227
17;18;86,96666667;19,66666667;16,48212778;-13341,78087
17;18;81,6;22,33333333;16,37038128;-13401,85884
17;18;76,26666667;23,33333333;16,26122078;-13452,23087
17;18;70,83333333;22,33333333;16,15460073;-13496,9272
17;18;65,5;21;16,05047561;-13539,53558
17;18;60,16666667;20,66666667;15,94879988;-13583,01206
17;18;54,76666667;23;15,84952814;-13628,46686
17;18;49,4;21;15,75261511;-13672,52427
17;18;43,96666667;24;15,65801571;-13704,13624
17;18;38,43333333;26;15,56568509;-13704,05608
17;18;32,8;23,33333333;15,47557869;-12558,1867
17;18;31,63333333;23;15,38765226;12524,96229
17;18;35,5;22;15,30186191;13234,15779
17;17,3;39,26666667;27,33333333;15,21816412;13282,29293
17;17;42,86666667;21,66666667;15,13651578;13309,7942
17;17;46,6;24;15,05687425;13318,2992
17;17;50,33333333;24,66666667;14,97919731;13310,65736
17;17;54;21,33333333;14,90344327;13291,9204
17;17;57,66666667;25,33333333;14,82957091;13269,71664
17;17;61,4;24;14,75753956;13253,65084
17;17;65,13333333;26;14,68730907;13253,51383
17;17;69;24;14,61883985;13276,52304
17;17;72,8;25,66666667;14,55209288;13324,12201
17;17;76,66666667;23,66666667;14,48702973;13388,50009
17;17;80,56666667;25,33333333;14,42361251;13447,73757
17;17;84,5;22;14,36180398;13455,5507
17;17;88,4;21,66666667;14,30156746;13309,93171
17;17;89,13333333;20,33333333;14,24286689;-10216,88087
17;17;83,93333333;21,66666667;14,18566682;-13377,08864
17;17;78,56666667;21,66666667;14,12993241;-13431,16628
17;17;73,23333333;21;14,07562942;-13477,87645
17;17;67,83333333;21;14,02272425;-13520,98174
17;17,13333333;62,46666667;311,6666667;308,8824729;-13563,78999
17;18;57,13333333;562,6666667;516,8615604;-13608,45503
17;18;51,73333333;663,6666667;665,6456278;-13653,96747
17,13333333;18,1;46,36666667;1961,666667;1956,603126;-13692,94299
18,4;19,4;40,86666667;3991,333333;3722,599641;-13709,45846
19,53333333;20,6;35,3;3793,666667;3725,791275;-13681,30152
20,86666667;22,1;30,96666667;4941,666667;4905,594943;1999,116989
22,76666667;24,03333333;33,86666667;6404,333333;6299,347621;13206,80318
25,03333333;26,33333333;37,6;8207,333333;7874,438717;13264,27573
27,43333333;28,83333333;41,4;7564;7382,231273;13300,44407
29,86666667;31,3;45;9356,666667;9083,084119;13316,83933
32,7;34;48,73333333;3893,666667;3561,822098;13315,64398
32;33,53333333;52,4;481,6666667;2461,682969;13300,87683
31,26666667;33,26666667;56,13333333;-5857,666667;-5531,79171;13279,0703
30,46666667;32,6;59,8;6803,333333;7790,189642;13259,13138
32,06666667;34,83333333;63,5;1577,333333;4073,642645;13251,06339
34,36666667;37,13333333;67,36666667;12060,66667;12904,66351;13263,56469
37,46666667;40,16666667;71,13333333;7955,666667;9712,022704;13300,95624
39;42,36666667;75,03333333;1780,666667;4418,454055;13359,861
39,13333333;43,43333333;78,93333333;-1024,666667;83,26165423;13425,19519
38,5;43,3;82,83333333;3513;5049,60969;13463,0781
40,46666667;45,06666667;86,73333333;7131;7756,342948;13402,2337
42,96666667;47,96666667;89,9;11991,66667;11686,99733;1291,839119
46,83333333;51,56666667;86,26666667;13294;13302,45692;-13350,09155
50,63333333;55,1;80,93333333;10737,33333;9972,989172;-13408,6931
53,16666667;57,7;75,56666667;10691,33333;10890,56375;-13458,13364
57,03333333;61,26666667;70,2;13314;13253,97903;-13502,3748
60,1;64,66666667;64,8;7366;9198,588449;-13544,95067
62,53333333;67,5;59,46666667;10055,33333;10573,95702;-13588,67808
