P_U_W_WITH_attack_av;P_U_W_without_attack_av
31347,0643;20711,21833
33501,72577;20549,72333
34091,94015;21016,48833
34114,56246;20950,57333
34473,43717;21245,79333
34378,39508;21109,61
33675,3199;20382,27833
33407,14286;20109,20833
33551,14112;20267,28333
33148,18215;19882,925
32799,95584;19556,19
33470,7719;20240,165
34645,56809;21408,08333
35069,23046;21801,91667
33825,14648;20505,85333
33512,16541;20124,27167
33609,73813;20171,63833
33818,84086;20402,01
28983,0123;19722,87667
6598,857253;19945,15333
6434,663888;19847,795
6816,800485;20280,41667
6944,869596;20453,935
6388,957189;19941,09667
6098,036442;19693,99833
5722,703248;19363,16833
5521,457701;19206,79667
6048,254227;19769,02
5632,758443;19360,55667
5485,590556;19170,43333
28256,56993;19123,54167
32449,41907;19245,65833
32678,04399;19422,04833
32795,5586;19509,51
32458,90849;19160,75167
32148,52313;18857,6
32071,39236;18797,685
31920,41174;18668,96833
32075,19865;18841,33167
32214,07325;18981,845
32591,70455;19340,39667
32719,35215;19427,1
32785,63402;19428,14
32891,82996;19471,255
32626,54393;19186,055
32137,64117;18811,40833
12851,33259;18671,35333
5450,30667;18836,73333
5617,849;19061,14167
5418,95446;18911,34333
5494,041164;19029,59667
5457,3846;19034,59
5368,393172;18988,535
5187,702354;18853,52
4930,679672;18638,26833
5222,096616;18952,51
5631,340247;19342,84833
16585,96076;19071,59333
32045,86207;18869,11667
32542,31314;19304,89167
32289,78465;19013,25333
32254,31612;18958,67333
32657,14317;19360,38
32622,18374;19338,92333
32273,26206;19010,96833
32435,96105;19194,48
32063,91162;18832,785
32460,73685;19220,44333
32245,06033;18970,935
32376,24829;19045,69
32340,80274;18944,30833
32268,98691;18825,88833
32153,23871;18751,63167
23592,56056;18767,46833
4699,957461;18061,405
4542,937829;17967,13
4440,967465;17916,53167
4397,322795;17916,58333
4210,232755;17770,76833
4513,501273;18117,18
3909,456473;17560,92333
3677,660732;17371,185
3363,877089;17092,01333
2200,843916;15930,9
2668,4783;15249,99833
26886,40229;14384,44
27099,65279;13887,495
